Commit SHA,Repo,Changed Files,Actual Config Warning?,Strict Config Warning?,Preventable? (Y/N),Confidence (High/Med/Low) - Project's ESLint,Confidence (High/Med/Low) - Our ESLint,Commit Name,Notes
a57b5981bcce062882798d83282be647879cc80c,https://github.com/langx/langx.git,app/complete/language/step2.tsx,N,N,N,High,High,fix: update language selection to use filtered languages and remove debug log.,"4 unused-vars warnings on project's ESLINT, 6 errors for no-unused-var in strict. Misses leftover debug and does not catch filter logic error."
18db80b7045314de3e5a5633ef8f8378c5f77807,https://github.com/langx/langx.git,a/app/(home)/settings.tsx,N,N,N,High,High,🐛 : Logout recursive logs bug,"1 no-unused-vars warning in projects, same issue but as an error for strict. Logic error. The linter cannot validate that the string literal root was the incorrect navigation path."
9bc840d402196c9c9ef13de1ba8caeda0bb86775,https://github.com/clairefro/obsidian-plugin-chronos.git,a/main.ts,N,N,N,High,High,fix multi-toggle bug,"13 unexpected any in projects, flagged usage of any (Type Safety), but missed the logic bug regarding DOM traversal/toggle state. Strict config flagged 21 hygiene issues (any, unused-vars, invalid void type) but missed the DOM traversal logic error"
dc8fef00f6c3128e407472c384fdcecfdc14bdfe,https://github.com/clairefro/obsidian-plugin-chronos.git,"lib/chronosMoment.ts, lib/flags/OrderBy.ts",N,N,N,High,High, update tsconfig to fix upcoming deprecations,"Project linter found unrelated style issues (prefer-const, no-explicit-any), but failed to validate that the import paths were broken. Strict config flagged style issues (consistent-type-definitions, no-explicit-any, prefer-const) but missed the broken import paths caused by the tsconfig change."
b7878202d8583cde617b6cb79def584617cb9887,https://github.com/OpenAgentPlatform/Dive.git,electron/main/deeplink.ts,N,N,N,High,High, fix: add Content-Type header to OAP token fetch request,No output from project's linter or strict linter. Missing API header (Content-Type). Linters cannot validate external API contracts or server requirements.
d5e221401bd9648f6ee986d10bcf1f8c4e7a2dce,https://github.com/OpenAgentPlatform/Dive.git,src/views/Chat/index.tsx,N,N,N,High,High,  fix: setCurrentChatId when start a new chat,"Logic error (missing React state update). The Project linter (Condition A) flagged 8 exhaustive-deps warnings. The Strict linter (Condition B) flagged 13 hygiene issues (any, non-null-assertion). Although the Project linter warnings mentioned the setCurrentChatId variable in the context of dependencies, resolving this warning would only update the dependency array, not insert the missing function call required to fix the bug. The warnings persisted identically post-fix, confirming they were unrelated."
3cfaba89946488e8cc1e9c1b68df15180f7e6ae8,https://github.com/ota-meshi/eslint-plugin-astro.git,"tools/lib/utils.ts, tools/update-meta.ts",N/A : linter crashed,N,N,Low,High,chore: fix build script,Project linter crashed because it relies on build artifacts (lib/) that were not present in the raw commit. Strict config missed the runtime error (missing try-catch). It only flagged an unused eslint-disable directive comment in a different file.
b21e8fb52abc069e87e6809b5d01bb78617b68ba,https://github.com/tiagosiebler/bybit-api.git,"src/index.ts, src/rest-client-v5.ts, src/websocket-client.ts, src/types/request/v5-trade.ts, src/types/response/index.ts, src/types/response/v5-spot-leverage-token.ts, src/types/websockets/index.ts, src/types/websockets/ws-events.ts, src/util/BaseRestClient.ts, src/util/BaseWSClient.ts, src/util/requestUtils.ts, src/util/typeGuards.ts, src/util/websockets/websocket-util.ts",N,Y,Y,High,High (for one issue),"feat(v4.1.17): update dependencies and ESLint configuration, fix all linter errors","Definitive instance of Tool Adoption / Linter-Driven Development. The commit simultaneously modified the ESLint configuration (enabling simple-import-sort) and refactored the codebase to comply. Condition A Analysis: The pre-fix project linter returned 0 errors (functionality verified via sanity check), proving that the refactor was not fixing pre-existing violations but was driven entirely by the new rules introduced in this commit. Condition B Analysis: The Strict linter flagged 43 issues. Crucially, it identified no-unused-vars in websocket-client.ts, which matches the specific lines the developer fixed (by adding suppression comments). Post-fix analysis showed the Strict error count dropped from 43 to 41, confirming the developer fixed exactly what the linter highlighted while ignoring other strict hygiene suggestions. However, the Strict linter did not flag the import sorting, confirming that the massive file reordering was driven by the project's custom plugin adoption (simple-import-sort) rather than standard strict rules."
59a9e59d927f9ffe80123ef9035d239dce20fcb9,https://github.com/mazzzystar/tinymind,components/Header.tsx,N,N,N,High,High,fix tab switch.,"Logic / UI State. The bug involved incorrect conditions for displaying tabs. Neither linter flagged the logic, and standard strict rules do not ban console.log. (No output for either linter)"
b4caa15e410911b54dcc89f23f860084a53d7d56,https://github.com/mazzzystar/tinymind,lib/githubApi.ts,N,N,N,High,High,fix read blog list.,"Performance / API Rate Limiting bug. The fix replaced parallel requests (Promise.all) with sequential execution (for...of) to avoid hitting GitHub API limits. Condition A  found no errors in the modified file. Condition B (Strict Config) flagged 3 unrelated hygiene issues: consistent-type-definitions , no-inferrable-types (Line 863), and no-unused-vars. All 3 strict warnings persisted identically after the fix, confirming they were unrelated style issues. The linter could not detect that the valid TypeScript code was causing runtime API throttling."
81f5ca42f027bb6d0738a4217559c629636b67e4,https://github.com/deniszholob/factorio-cheat-sheet.git,src/app/cheat-sheets/game-base/space-age/space-age.data.ts,Y,Y,Y,High,High, Update space-age.data.ts   Fix error.,Syntax Error. The code was invalid TypeScript (parsing error). Both linters correctly identified that the file could not be parsed and identified the exact line.
